,group_label,stat_label,motion_label,representative_feature
angular_velocity_abs_10th,97,10th,none,False
angular_velocity_abs_50th,97,50th,none,False
angular_velocity_abs_90th,6,90th,none,False
angular_velocity_abs_IQR,6,IQR,none,False
angular_velocity_head_base_abs_10th,97,10th,none,False
angular_velocity_head_base_abs_50th,97,50th,none,False
angular_velocity_head_base_abs_90th,97,90th,none,False
angular_velocity_head_base_abs_IQR,97,IQR,none,False
angular_velocity_head_base_w_backward_abs_10th,99,10th,backward,False
angular_velocity_head_base_w_backward_abs_50th,6,50th,backward,False
angular_velocity_head_base_w_backward_abs_90th,6,90th,backward,False
angular_velocity_head_base_w_backward_abs_IQR,6,IQR,backward,False
angular_velocity_head_base_w_forward_abs_10th,39,10th,forward,False
angular_velocity_head_base_w_forward_abs_50th,39,50th,forward,False
angular_velocity_head_base_w_forward_abs_90th,39,90th,forward,False
angular_velocity_head_base_w_forward_abs_IQR,39,IQR,forward,False
angular_velocity_head_base_w_paused_abs_10th,100,10th,paused,False
angular_velocity_head_base_w_paused_abs_50th,100,50th,paused,False
angular_velocity_head_base_w_paused_abs_90th,3,90th,paused,False
angular_velocity_head_base_w_paused_abs_IQR,3,IQR,paused,False
angular_velocity_head_tip_abs_10th,6,10th,none,False
angular_velocity_head_tip_abs_50th,6,50th,none,False
angular_velocity_head_tip_abs_90th,2,90th,none,False
angular_velocity_head_tip_abs_IQR,2,IQR,none,False
angular_velocity_head_tip_w_backward_abs_10th,99,10th,backward,False
angular_velocity_head_tip_w_backward_abs_50th,99,50th,backward,False
angular_velocity_head_tip_w_backward_abs_90th,6,90th,backward,False
angular_velocity_head_tip_w_backward_abs_IQR,6,IQR,backward,False
angular_velocity_head_tip_w_forward_abs_10th,2,10th,forward,False
angular_velocity_head_tip_w_forward_abs_50th,2,50th,forward,False
angular_velocity_head_tip_w_forward_abs_90th,60,90th,forward,False
angular_velocity_head_tip_w_forward_abs_IQR,60,IQR,forward,False
angular_velocity_head_tip_w_paused_abs_10th,19,10th,paused,False
angular_velocity_head_tip_w_paused_abs_50th,19,50th,paused,False
angular_velocity_head_tip_w_paused_abs_90th,2,90th,paused,False
angular_velocity_head_tip_w_paused_abs_IQR,2,IQR,paused,False
angular_velocity_hips_abs_10th,97,10th,none,False
angular_velocity_hips_abs_50th,97,50th,none,False
angular_velocity_hips_abs_90th,97,90th,none,False
