drug_dose,bacteria_strain,bluelight_bluelight,bluelight_poststim,bluelight_prestim,camera_serial,cave_humidity_percent,cave_temp_oC,cave_time,comments,date_bleached_yyyymmdd,date_plates_poured_yyyymmdd,date_refed_yyyymmdd,date_yyyymmdd,days_in_diapause,destination_slot,destination_well,drug_code,drug_type,end_column,end_row,end_well,featuresN_filename,file_id_bluelight,file_id_poststim,file_id_prestim,imaging_plate_column,imaging_plate_drug_concentration,imaging_plate_drug_concentration_units,imaging_plate_id,imaging_plate_row,imaging_run_number,imgstore_name_bluelight,imgstore_name_poststim,imgstore_name_prestim,instrument_name,is_bad_well_day,is_bad_well_from_gui,is_bad_well_robot,is_good_well,library_plate_number,media_type,middle_wormsorter_time,n_skeletons_bluelight,n_skeletons_poststim,n_skeletons_prestim,number_worms_per_well,recording_time,robot_run_number,robot_runlog_filename,robot_runlog_id,shuffled_plate_id,source_plate_column,source_plate_id_day,source_plate_id_robot,source_plate_name,source_plate_number,source_robotslot,source_well,start_column,start_row,start_well,volume,well_name,worm_strain,wormsorter_end_time,wormsorter_start_time,MOA_general,MOA_specific,MOA_group
0.0,OP50,bluelight,poststim,prestim,22956805.0,,,13:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H6,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run1_syngenta_prestim_20200129_141127.22956805/metadata_featuresN.hdf5,1794.0,1824.0,1854.0,6.0,0.0,na,L01_sh01_01,H,1.0,20200129/run1_syngenta_bluelight_20200129_141633.22956805,20200129/run1_syngenta_poststim_20200129_142238.22956805,20200129/run1_syngenta_prestim_20200129_141127.22956805,Hydra01,False,False,False,1.0,1.0,LPNGM,10:10,11759.0,6816.0,13049.0,3.0,14:10,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L01_sh01,12.0,L01_sh01,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H6,JT11398,10:20,10:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956829.0,,,14:10,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H6,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run2_syngenta_prestim_20200129_143836.22956829/metadata_featuresN.hdf5,1880.0,1910.0,1940.0,6.0,0.0,na,L01_sh01_03,H,2.0,20200129/run2_syngenta_bluelight_20200129_144342.22956829,20200129/run2_syngenta_poststim_20200129_144947.22956829,20200129/run2_syngenta_prestim_20200129_143836.22956829,Hydra02,False,False,False,1.0,1.0,LPNGM,10:40,14973.0,13050.0,16478.0,3.0,14:40,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L01_sh01,12.0,L01_sh01,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H6,MY16,10:50,10:30,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956829.0,,,15:10,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H6,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run4_prestim_20200129_154334.22956829/metadata_featuresN.hdf5,2060.0,2090.0,2120.0,6.0,0.0,na,L01_sh01_05,H,4.0,20200129/run4_bluelight_20200129_154840.22956829,20200129/run4_poststim_20200129_155445.22956829,20200129/run4_prestim_20200129_154334.22956829,Hydra02,False,False,False,1.0,1.0,LPNGM,11:40,14264.0,15966.0,11973.0,3.0,15:40,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L01_sh01,12.0,L01_sh01,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H6,EG4725,11:50,11:30,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22594548.0,,,13:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H12,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run1_syngenta_prestim_20200129_141511.22594548/metadata_featuresN.hdf5,1809.0,1839.0,1869.0,12.0,0.0,na,L01_sh02_01,H,1.0,20200129/run1_syngenta_bluelight_20200129_142017.22594548,20200129/run1_syngenta_poststim_20200129_142622.22594548,20200129/run1_syngenta_prestim_20200129_141511.22594548,Hydra05,False,False,False,1.0,1.0,LPNGM,10:10,9001.0,7501.0,7259.0,3.0,14:10,2.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle2_runlog_clean.csv,1.0,L01_sh02,12.0,L01_sh02,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H12,JT11398,10:20,10:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956832.0,,,15:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H12,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run5_prestim_20200129_161000.22956832/metadata_featuresN.hdf5,2159.0,2189.0,2219.0,12.0,0.0,na,L01_sh02_06,H,5.0,20200129/run5_bluelight_20200129_161506.22956832,20200129/run5_poststim_20200129_162111.22956832,20200129/run5_prestim_20200129_161000.22956832,Hydra01,False,False,False,1.0,1.0,LPNGM,12:10,4648.0,6601.0,4906.0,3.0,16:10,2.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle2_runlog_clean.csv,1.0,L01_sh02,12.0,L01_sh02,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H12,EG4725,12:20,12:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956811.0,,,14:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H7,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run3_syngenta_prestim_20200129_150947.22956811/metadata_featuresN.hdf5,1963.0,1993.0,2023.0,7.0,0.0,na,L01_sh03_04,H,3.0,20200129/run3_syngenta_bluelight_20200129_151453.22956811,20200129/run3_syngenta_poststim_20200129_152058.22956811,20200129/run3_syngenta_prestim_20200129_150947.22956811,Hydra04,False,False,False,1.0,1.0,LPNGM,11:10,10979.0,17450.0,12269.0,3.0,15:10,3.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle3_runlog_clean.csv,1.0,L01_sh03,12.0,L01_sh03,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H7,MY16,11:20,11:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956811.0,,,15:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,11.0,H7,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run5_prestim_20200129_160853.22956811/metadata_featuresN.hdf5,2143.0,2173.0,2203.0,7.0,0.0,na,L01_sh03_06,H,5.0,20200129/run5_bluelight_20200129_161359.22956811,20200129/run5_poststim_20200129_162004.22956811,20200129/run5_prestim_20200129_160853.22956811,Hydra04,False,False,False,1.0,1.0,LPNGM,12:10,6237.0,4235.0,2827.0,3.0,16:10,3.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle3_runlog_clean.csv,1.0,L01_sh03,12.0,L01_sh03,L01,Syngenta3doses_01,1.0,10.0,H12,1.0,A,A1,15.0,H7,EG4725,12:20,12:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956806.0,,,13:40,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,8.0,H12,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run1_syngenta_prestim_20200129_141107.22956806/metadata_featuresN.hdf5,1788.0,1818.0,1848.0,12.0,0.0,na,L02_sh01_01,H,1.0,20200129/run1_syngenta_bluelight_20200129_141613.22956806,20200129/run1_syngenta_poststim_20200129_142218.22956806,20200129/run1_syngenta_prestim_20200129_141107.22956806,Hydra02,False,False,False,1.0,2.0,LPNGM,10:10,9920.0,15729.0,6453.0,3.0,14:10,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L02_sh01,10.0,L02_sh01,L02,Syngenta3doses_02,2.0,7.0,H10,1.0,A,A1,15.0,H12,JT11398,10:20,10:00,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956840.0,,,14:10,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,8.0,H12,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run2_syngenta_prestim_20200129_144000.22956840/metadata_featuresN.hdf5,1895.0,1925.0,1955.0,12.0,0.0,na,L02_sh01_03,H,2.0,20200129/run2_syngenta_bluelight_20200129_144506.22956840,20200129/run2_syngenta_poststim_20200129_145111.22956840,20200129/run2_syngenta_prestim_20200129_144000.22956840,Hydra03,False,False,False,1.0,2.0,LPNGM,10:40,4882.0,7155.0,6455.0,3.0,14:40,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L02_sh01,10.0,L02_sh01,L02,Syngenta3doses_02,2.0,7.0,H10,1.0,A,A1,15.0,H12,MY16,10:50,10:30,NoCompound,,-1
0.0,OP50,bluelight,poststim,prestim,22956840.0,,,15:10,,20200124.0,20200121.0,20200126.0,20200129.0,2.0,8.0,H12,NoCompound,NoCompound,12.0,H,H12,/mnt/storage/home/em812/tierpsy_syngenta/Results/20200129/run4_prestim_20200129_154457.22956840/metadata_featuresN.hdf5,2075.0,2105.0,2135.0,12.0,0.0,na,L02_sh01_05,H,4.0,20200129/run4_bluelight_20200129_155003.22956840,20200129/run4_poststim_20200129_155608.22956840,20200129/run4_prestim_20200129_154457.22956840,Hydra03,False,False,False,1.0,2.0,LPNGM,11:40,8028.0,7724.0,10450.0,3.0,15:40,1.0,/Users/ibarlow/OneDrive - Imperial College London/Documents/SyngentaScreens_WFH/SyngentaStrainScreen/AuxiliaryFiles/robot_logs/20200124_shuffle1_runlog_clean.csv,1.0,L02_sh01,10.0,L02_sh01,L02,Syngenta3doses_02,2.0,7.0,H10,1.0,A,A1,15.0,H12,EG4725,11:50,11:30,NoCompound,,-1
