source_slot,source_well,destination_slot,destination_well,volume
9,A1,1,A8,5
9,B1,1,B8,5
9,C1,1,C8,5
9,D1,1,D8,5
9,E1,1,E8,5
9,F1,1,F8,5
9,G1,1,G8,5
9,H1,1,H8,5
9,A1,1,A5,5
9,B1,1,B5,5
9,C1,1,C5,5
9,D1,1,D5,5
9,E1,1,E5,5
9,F1,1,F5,5
9,G1,1,G5,5
9,H1,1,H5,5
9,A1,1,A2,5
9,B1,1,B2,5
9,C1,1,C2,5
9,D1,1,D2,5
9,E1,1,E2,5
9,F1,1,F2,5
9,G1,1,G2,5
9,H1,1,H2,5
9,A1,1,A9,5
9,B1,1,B9,5
9,C1,1,C9,5
9,D1,1,D9,5
9,E1,1,E9,5
9,F1,1,F9,5
9,G1,1,G9,5
9,H1,1,H9,5
9,A1,1,A10,5
9,B1,1,B10,5
9,C1,1,C10,5
9,D1,1,D10,5
9,E1,1,E10,5
9,F1,1,F10,5
9,G1,1,G10,5
9,H1,1,H10,5
9,A1,1,A4,5
9,B1,1,B4,5
9,C1,1,C4,5
9,D1,1,D4,5
9,E1,1,E4,5
9,F1,1,F4,5
9,G1,1,G4,5
9,H1,1,H4,5
9,A1,1,A11,5
9,B1,1,B11,5
9,C1,1,C11,5
9,D1,1,D11,5
9,E1,1,E11,5
9,F1,1,F11,5
9,G1,1,G11,5
9,H1,1,H11,5
9,A1,1,A12,5
9,B1,1,B12,5
9,C1,1,C12,5
9,D1,1,D12,5
9,E1,1,E12,5
9,F1,1,F12,5
9,G1,1,G12,5
9,H1,1,H12,5
9,A1,1,A3,5
9,B1,1,B3,5
9,C1,1,C3,5
9,D1,1,D3,5
9,E1,1,E3,5
9,F1,1,F3,5
9,G1,1,G3,5
9,H1,1,H3,5
9,A1,1,A7,5
9,B1,1,B7,5
9,C1,1,C7,5
9,D1,1,D7,5
9,E1,1,E7,5
9,F1,1,F7,5
9,G1,1,G7,5
9,H1,1,H7,5
9,A1,1,A1,5
9,B1,1,B1,5
9,C1,1,C1,5
9,D1,1,D1,5
9,E1,1,E1,5
9,F1,1,F1,5
9,G1,1,G1,5
9,H1,1,H1,5
9,A1,1,A6,5
9,B1,1,B6,5
9,C1,1,C6,5
9,D1,1,D6,5
9,E1,1,E6,5
9,F1,1,F6,5
9,G1,1,G6,5
9,H1,1,H6,5
2,A1,1,A8,3
2,B1,1,B8,3
2,C1,1,C8,3
2,D1,1,D8,3
2,E1,1,E8,3
2,F1,1,F8,3
2,G1,1,G8,3
2,H1,1,H8,3
2,A2,1,A5,3
2,B2,1,B5,3
2,C2,1,C5,3
2,D2,1,D5,3
2,E2,1,E5,3
2,F2,1,F5,3
2,G2,1,G5,3
2,H2,1,H5,3
2,A3,1,A2,3
2,B3,1,B2,3
2,C3,1,C2,3
2,D3,1,D2,3
2,E3,1,E2,3
2,F3,1,F2,3
2,G3,1,G2,3
2,H3,1,H2,3
2,A4,1,A9,3
2,B4,1,B9,3
2,C4,1,C9,3
2,D4,1,D9,3
2,E4,1,E9,3
2,F4,1,F9,3
2,G4,1,G9,3
2,H4,1,H9,3
2,A5,1,A10,3
2,B5,1,B10,3
2,C5,1,C10,3
2,D5,1,D10,3
2,E5,1,E10,3
2,F5,1,F10,3
2,G5,1,G10,3
2,H5,1,H10,3
2,A6,1,A4,3
2,B6,1,B4,3
2,C6,1,C4,3
2,D6,1,D4,3
2,E6,1,E4,3
2,F6,1,F4,3
2,G6,1,G4,3
2,H6,1,H4,3
2,A7,1,A11,3
2,B7,1,B11,3
2,C7,1,C11,3
2,D7,1,D11,3
2,E7,1,E11,3
2,F7,1,F11,3
2,G7,1,G11,3
2,H7,1,H11,3
2,A8,1,A12,3
2,B8,1,B12,3
2,C8,1,C12,3
2,D8,1,D12,3
2,E8,1,E12,3
2,F8,1,F12,3
2,G8,1,G12,3
2,H8,1,H12,3
2,A9,1,A3,3
2,B9,1,B3,3
2,C9,1,C3,3
2,D9,1,D3,3
2,E9,1,E3,3
2,F9,1,F3,3
2,G9,1,G3,3
2,H9,1,H3,3
2,A10,1,A7,3
2,B10,1,B7,3
2,C10,1,C7,3
2,D10,1,D7,3
2,E10,1,E7,3
2,F10,1,F7,3
2,G10,1,G7,3
2,H10,1,H7,3
2,A11,1,A1,3
2,B11,1,B1,3
2,C11,1,C1,3
2,D11,1,D1,3
2,E11,1,E1,3
2,F11,1,F1,3
2,G11,1,G1,3
2,H11,1,H1,3
2,A12,1,A6,3
2,B12,1,B6,3
2,C12,1,C6,3
2,D12,1,D6,3
2,E12,1,E6,3
2,F12,1,F6,3
2,G12,1,G6,3
2,H12,1,H6,3
9,A1,4,A4,5
9,B1,4,B4,5
9,C1,4,C4,5
9,D1,4,D4,5
9,E1,4,E4,5
9,F1,4,F4,5
9,G1,4,G4,5
9,H1,4,H4,5
9,A1,4,A6,5
9,B1,4,B6,5
9,C1,4,C6,5
9,D1,4,D6,5
9,E1,4,E6,5
9,F1,4,F6,5
9,G1,4,G6,5
9,H1,4,H6,5
9,A1,4,A8,5
9,B1,4,B8,5
9,C1,4,C8,5
9,D1,4,D8,5
9,E1,4,E8,5
9,F1,4,F8,5
9,G1,4,G8,5
9,H1,4,H8,5
9,A1,4,A12,5
9,B1,4,B12,5
9,C1,4,C12,5
9,D1,4,D12,5
9,E1,4,E12,5
9,F1,4,F12,5
9,G1,4,G12,5
9,H1,4,H12,5
9,A1,4,A3,5
9,B1,4,B3,5
9,C1,4,C3,5
9,D1,4,D3,5
9,E1,4,E3,5
9,F1,4,F3,5
9,G1,4,G3,5
9,H1,4,H3,5
9,A1,4,A1,5
9,B1,4,B1,5
9,C1,4,C1,5
9,D1,4,D1,5
9,E1,4,E1,5
9,F1,4,F1,5
9,G1,4,G1,5
9,H1,4,H1,5
9,A1,4,A10,5
9,B1,4,B10,5
9,C1,4,C10,5
9,D1,4,D10,5
9,E1,4,E10,5
9,F1,4,F10,5
9,G1,4,G10,5
9,H1,4,H10,5
9,A1,4,A2,5
9,B1,4,B2,5
9,C1,4,C2,5
9,D1,4,D2,5
9,E1,4,E2,5
9,F1,4,F2,5
9,G1,4,G2,5
