source_slot,source_well,destination_slot,destination_well,volume
9,A12,11,A12,7.0
9,B12,11,B12,7.0
9,C12,11,C12,7.0
9,D12,11,D12,7.0
9,E12,11,E12,7.0
9,F12,11,F12,7.0
9,G12,11,G12,7.0
9,H12,11,H12,7.0
9,A12,11,A10,7.0
9,B12,11,B10,7.0
9,C12,11,C10,7.0
9,D12,11,D10,7.0
9,E12,11,E10,7.0
9,F12,11,F10,7.0
9,G12,11,G10,7.0
9,H12,11,H10,7.0
9,A12,11,A2,7.0
9,B12,11,B2,7.0
9,C12,11,C2,7.0
9,D12,11,D2,7.0
9,E12,11,E2,7.0
9,F12,11,F2,7.0
9,G12,11,G2,7.0
9,H12,11,H2,7.0
9,A12,11,A11,7.0
9,B12,11,B11,7.0
9,C12,11,C11,7.0
9,D12,11,D11,7.0
9,E12,11,E11,7.0
9,F12,11,F11,7.0
9,G12,11,G11,7.0
9,H12,11,H11,7.0
9,A12,11,A8,7.0
9,B12,11,B8,7.0
9,C12,11,C8,7.0
9,D12,11,D8,7.0
9,E12,11,E8,7.0
9,F12,11,F8,7.0
9,G12,11,G8,7.0
9,H12,11,H8,7.0
9,A12,11,A6,7.0
9,B12,11,B6,7.0
9,C12,11,C6,7.0
9,D12,11,D6,7.0
9,E12,11,E6,7.0
9,F12,11,F6,7.0
9,G12,11,G6,7.0
9,H12,11,H6,7.0
9,A12,11,A9,7.0
9,B12,11,B9,7.0
9,C12,11,C9,7.0
9,D12,11,D9,7.0
9,E12,11,E9,7.0
9,F12,11,F9,7.0
9,G12,11,G9,7.0
9,H12,11,H9,7.0
9,A12,11,A4,7.0
9,B12,11,B4,7.0
9,C12,11,C4,7.0
9,D12,11,D4,7.0
9,E12,11,E4,7.0
9,F12,11,F4,7.0
9,G12,11,G4,7.0
9,H12,11,H4,7.0
9,A12,11,A7,7.0
9,B12,11,B7,7.0
9,C12,11,C7,7.0
9,D12,11,D7,7.0
9,E12,11,E7,7.0
9,F12,11,F7,7.0
9,G12,11,G7,7.0
9,H12,11,H7,7.0
9,A12,11,A3,7.0
9,B12,11,B3,7.0
9,C12,11,C3,7.0
9,D12,11,D3,7.0
9,E12,11,E3,7.0
9,F12,11,F3,7.0
9,G12,11,G3,7.0
9,H12,11,H3,7.0
9,A12,11,A5,7.0
9,B12,11,B5,7.0
9,C12,11,C5,7.0
9,D12,11,D5,7.0
9,E12,11,E5,7.0
9,F12,11,F5,7.0
9,G12,11,G5,7.0
9,H12,11,H5,7.0
9,A12,11,A1,7.0
9,B12,11,B1,7.0
9,C12,11,C1,7.0
9,D12,11,D1,7.0
9,E12,11,E1,7.0
9,F12,11,F1,7.0
9,G12,11,G1,7.0
9,H12,11,H1,7.0
10,A1,11,A12,3.0
10,B1,11,B12,3.0
10,C1,11,C12,3.0
10,D1,11,D12,3.0
10,E1,11,E12,3.0
10,F1,11,F12,3.0
10,G1,11,G12,3.0
10,H1,11,H12,3.0
10,A2,11,A10,3.0
10,B2,11,B10,3.0
10,C2,11,C10,3.0
10,D2,11,D10,3.0
10,E2,11,E10,3.0
10,F2,11,F10,3.0
10,G2,11,G10,3.0
10,H2,11,H10,3.0
10,A3,11,A2,3.0
10,B3,11,B2,3.0
10,C3,11,C2,3.0
10,D3,11,D2,3.0
10,E3,11,E2,3.0
10,F3,11,F2,3.0
10,G3,11,G2,3.0
10,H3,11,H2,3.0
10,A4,11,A11,3.0
10,B4,11,B11,3.0
10,C4,11,C11,3.0
10,D4,11,D11,3.0
10,E4,11,E11,3.0
10,F4,11,F11,3.0
10,G4,11,G11,3.0
10,H4,11,H11,3.0
10,A5,11,A8,3.0
10,B5,11,B8,3.0
10,C5,11,C8,3.0
10,D5,11,D8,3.0
10,E5,11,E8,3.0
10,F5,11,F8,3.0
10,G5,11,G8,3.0
10,H5,11,H8,3.0
10,A6,11,A6,3.0
10,B6,11,B6,3.0
10,C6,11,C6,3.0
10,D6,11,D6,3.0
10,E6,11,E6,3.0
10,F6,11,F6,3.0
10,G6,11,G6,3.0
10,H6,11,H6,3.0
10,A7,11,A9,3.0
10,B7,11,B9,3.0
10,C7,11,C9,3.0
10,D7,11,D9,3.0
10,E7,11,E9,3.0
10,F7,11,F9,3.0
10,G7,11,G9,3.0
10,H7,11,H9,3.0
10,A8,11,A4,3.0
