instrument_name,imaging_run_number,source_plate_id,imaging_plate_id,date_yyyymmdd
Hydra01,1,L01_sh01,L01_sh01_01,20200220
Hydra02,1,L02_sh01,L02_sh01_01,20200220
Hydra03,1,L03_sh01,L03_sh01_01,20200220
Hydra04,1,L04_sh01sh02,L04_sh01sh02_01,20200220
Hydra05,1,L01_sh02,L01_sh02_01,20200220
Hydra01,2,L02_sh02,L02_sh02_02,20200220
Hydra02,2,L03_sh02,L03_sh02_02,20200220
Hydra03,2,L01_sh03,L01_sh03_02,20200220
Hydra04,2,L02_sh03,L02_sh03_02,20200220
Hydra05,2,L03_sh03,L03_sh03_02,20200220
Hydra01,3,L04_sh03sh01,L04_sh03sh01_03,20200220
Hydra02,3,L01_sh01,L01_sh01_03,20200220
Hydra03,3,L02_sh01,L02_sh01_03,20200220
Hydra04,3,L03_sh01,L03_sh01_03,20200220
Hydra05,3,L01_sh02,L01_sh02_03,20200220
Hydra01,4,L02_sh02,L02_sh02_04,20200220
Hydra02,4,L03_sh02,L03_sh02_04,20200220
Hydra03,4,L04_sh02sh03,L04_sh02sh03_04,20200220
Hydra04,4,L01_sh03,L01_sh03_04,20200220
Hydra05,4,L02_sh03,L02_sh03_04,20200220
Hydra01,5,L03_sh03,L03_sh03_05,20200220
Hydra02,5,L01_sh03,L01_sh03_08,20200220
Hydra03,5,L01_sh02,L01_sh02_08,20200220
Hydra04,5,L03_sh03,L03_sh03_07,20200220
Hydra05,5,L03_sh02,L03_sh02_04,20200220
