imaging_plate_row,imaging_plate_column,well_name,imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,comments,start_row,end_row,start_column,end_column
A,1,A1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,2,A2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,3,A3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,4,A4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,5,A5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,6,A6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,7,A7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,8,A8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,9,A9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,10,A10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
