imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,comments
L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,
L04_sh01sh02_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh02_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh02_02,A1,H12,ED3017,OP50,11:10,11:30,11:20,14:50,15:20,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh02_02,A1,H12,ED3017,OP50,11:10,11:30,11:20,14:50,15:20,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh03_02,A1,H12,ED3017,OP50,11:10,11:30,11:20,14:50,15:20,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh03_02,A1,H12,ED3017,OP50,11:10,11:30,11:20,14:50,15:20,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh03_02,A1,H12,ED3017,OP50,11:10,11:30,11:20,14:50,15:20,LPNGM,3,20200214,20200217,2,,,20200211,
L04_sh03sh01_03,A1,D12,ED3017,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L04_sh03sh01_03,E1,H12,LCK34,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh01_03,A1,H12,LCK34,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh01_03,A1,H12,LCK34,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh01_03,A1,H12,LCK34,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh02_03,A1,H12,LCK34,OP50,11:40,12:00,11:50,15:20,15:50,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh02_04,A1,H12,LCK34,OP50,12:10,12:30,12:20,15:50,16:20,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh02_04,A1,H12,LCK34,OP50,12:10,12:30,12:20,15:50,16:20,LPNGM,3,20200214,20200217,2,,,20200211,
L04_sh02sh03_04,A1,H12,LCK34,OP50,12:10,12:30,12:20,15:50,16:20,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh03_04,A1,H12,LCK34,OP50,12:10,12:30,12:20,15:50,16:20,LPNGM,3,20200214,20200217,2,,,20200211,
L02_sh03_04,A1,H12,LCK34,OP50,12:10,12:30,12:20,15:50,16:20,LPNGM,3,20200214,20200217,2,,,20200211,
L03_sh03_05,A1,H12,LCK34,OP50,12:40,12:40,12:40,16:20,16:50,LPNGM,3,20200214,20200217,2,,,20200211,
L01_sh03_08,A1,H12,LCK34,OP50,12:40,12:40,12:40,16:20,16:50,LPNGM,3,20200214,20200217,2,,,20200211,old plate from 20200218
L01_sh02_08,A1,H12,LCK34,OP50,12:40,12:40,12:40,16:20,16:50,LPNGM,3,20200214,20200217,2,,,20200211,old plate from 20200218
L03_sh03_07,A1,H12,LCK34,OP50,12:40,12:40,12:40,16:20,16:50,LPNGM,3,20200214,20200217,2,,,20200211,old plate from 20200218
L03_sh02_04,A1,H12,LCK34,OP50,12:40,12:40,12:40,16:20,16:50,LPNGM,3,20200214,20200217,2,,,20200211,old plate from 20200218
