bacteria_strain,camera_serial,date_plates_poured_yyyymmdd,date_yyyymmdd,days_in_diapause,destination_slot,drug_type,imaging_plate_drug_concentration,imaging_plate_drug_concentration_units,imaging_plate_id,imaging_run_number,instrument_name,mark_position,media_type,number_worms_per_well,robot_runlog_filename,robot_runlog_id,source_plate_column,source_plate_id,source_robotslot,source_well,volume,water_robotslot,well_name,worm_strain,imgstore_name
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,1,1,2,A1,3,9,A8,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,1,1,2,B1,3,9,B8,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,1,1,2,C1,3,9,C8,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,1,1,2,D1,3,9,D8,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,2,1,2,A2,3,9,A5,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,2,1,2,B2,3,9,B5,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,2,1,2,C2,3,9,C5,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,0.1,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,2,1,2,D2,3,9,D5,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,1.5,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,10,1,2,A10,3,9,A7,N2,
OP50,22956813,20191110,20191111,1,1,DMSO,1.5,%,rr1_sp1_ds1,1,Hydra01,A2,LB,3,/Volumes/behavgenom$/Ida/Data/Hydra/PilotDrugExps/AuxiliaryFiles/20191108_tierpsytools_dev/OpentronsOutput/20191107_165240_runlog.csv,1,10,1,2,B10,3,9,B7,N2,
