,group_label,stat_label,motion_label
speed_10th,speed,10th,none
angular_velocity_abs_10th,angular_velocity_abs,10th,none
relative_to_body_speed_midbody_abs_10th,relative_to_speed_abs,10th,none
relative_to_body_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_body_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
relative_to_body_radial_velocity_neck_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_neck_abs_10th,relative_to_angular_velocity_abs,10th,none
relative_to_body_radial_velocity_hips_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_hips_abs_10th,relative_to_angular_velocity_abs,10th,none
relative_to_body_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_neck_10th,speed,10th,none
angular_velocity_neck_abs_10th,angular_velocity_abs,10th,none
relative_to_neck_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_neck_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
speed_head_base_10th,speed,10th,none
angular_velocity_head_base_abs_10th,angular_velocity_abs,10th,none
relative_to_head_base_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_head_base_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
speed_hips_10th,speed,10th,none
angular_velocity_hips_abs_10th,angular_velocity_abs,10th,none
relative_to_hips_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_hips_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_tail_base_10th,speed,10th,none
angular_velocity_tail_base_abs_10th,angular_velocity_abs,10th,none
relative_to_tail_base_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_tail_base_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_midbody_10th,speed,10th,none
angular_velocity_midbody_abs_10th,angular_velocity_abs,10th,none
speed_head_tip_10th,speed_head_tip,10th,none
angular_velocity_head_tip_abs_10th,angular_velocity_head_tip_abs,10th,none
speed_tail_tip_10th,speed,10th,none
angular_velocity_tail_tip_abs_10th,angular_velocity_abs,10th,none
length_10th,length,10th,none
area_10th,area,10th,none
width_head_base_10th,width,10th,none
width_midbody_10th,width,10th,none
width_tail_base_10th,width,10th,none
quirkiness_10th,quirkiness,10th,none
